"time [s]"," distance [m]"," watts [W]"," heartrate [bpm]"," cadence [rpm]"," velocity_smooth [m/s]"," altitude [msnm]"
"2158","7953.3","223","178","85","3.982","2763"
"2159","7958.1","186","178","85","4.156","2763.2"
"2160","7962.4","205","176","85","4.292","2763.4"
"2161","7967.5","205","176","82","4.514","2763.6"
"2162","7972.2","237","176","83","4.68","2763.8"
"2163","7976.4","212","176","83","4.634","2764"
"2164","7980.7","212","176","86","4.53","2764"
"2165","7984.6","227","176","91","4.452","2764.4"
"2166","7988.7","190","176","93","4.248","2764.6"
"2167","7992.9","114","176","92","4.156","2765"
"2168","7997.2","143","176","87","4.16","2765.2"
"2169","8001.5","186","176","87","4.146","2765.4"
"2170","8005.5","186","176","82","4.184","2765.6"
"2171","8009.3","196","176","79","4.12","2765.8"
"2172","8013.2","160","176","76","4.052","2766"
"2173","8017","195","176","75","3.958","2766.2"
"2174","8021.5","188","176","73","4.02","2766.4"
"2175","8026.6","248","176","81","4.212","2766.6"
"2176","8030.8","213","176","87","4.3","2766.8"
"2177","8034.5","209","176","84","4.27","2767"
"2178","8038.3","183","176","82","4.26","2767.2"
"2179","8041.6","225","176","81","4.02","2767.2"
"2180","8046.7","214","176","78","4.026","2767.4"
"2181","8050.7","275","176","79","3.98","2767.4"
"2182","8054.6","277","176","79","4.012","2767.6"
"2183","8058.9","279","176","83","4.108","2767.6"
"2184","8063","198","176","84","4.28","2767.8"
"2185","8066.9","185","176","84","4.04","2768.4"
"2186","8070.5","185","175","84","3.97","2768.8"
"2187","8074.5","202","175","85","3.988","2769"
"2188","8078.9","229","176","88","4.016","2769.2"
"2189","8083.2","216","176","91","4.03","2769.4"
"2190","8087.8","199","176","91","4.174","2769.6"
"2191","8093.4","202","175","92","4.574","2770"
"2192","8099.4","221","176","90","4.972","2770.2"
"2193","8105","208","176","89","5.216","2770.4"
"2194","8110.2","158","176","91","5.394","2770.4"
"2195","8113.3","196","177","87","5.09","2770.6"
"2196","8117.1","193","177","87","4.742","2770.8"
"2197","8121.2","152","176","87","4.362","2771"
"2198","8126","152","176","88","4.206","2771.4"
"2199","8130.9","165","177","90","4.138","2771.6"
"2200","8134","139","177","90","4.152","2771.6"
"2201","8137.8","165","176","88","4.126","2771.8"
"2202","8141","209","176","86","3.954","2772.2"
"2203","8144.6","229","176","86","3.706","2772.4"
"2204","8148.4","185","176","86","3.5","2772.4"
"2205","8151.7","199","176","86","3.542","2772.6"
"2206","8155.4","213","176","87","3.534","2772.8"
"2207","8159.4","234","178","85","3.686","2772.8"
"2208","8163.4","264","176","85","3.762","2773"
"2209","8167","264","176","81","3.72","2773.2"
"2210","8170.7","350","176","79","3.786","2773.4"
"2211","8174.4","299","176","79","3.804","2773.6"
"2212","8178.2","299","176","77","3.752","2773.8"
"2213","8181.8","362","176","79","3.69","2774"
"2214","8185.3","290","176","84","3.672","2774.4"
"2215","8188.9","262","176","85","3.64","2774.8"
"2216","8192.7","193","176","83","3.646","2775"
"2217","8196.3","223","176","84","3.63","2775.4"
"2218","8200.2","200","176","85","3.672","2776"
"2219","8204.1","174","176","89","3.762","2776.4"
"2220","8207.9","142","177","89","3.812","2776.6"
"2221","8211.4","163","177","94","3.746","2776.6"
"2222","8215.5","139","178","100","3.84","2776.6"
"2223","8219.5","163","178","99","3.86","2776.6"
"2224","8225.1","187","178","101","4.194","2776.6"
"2225","8230.4","100","178","107","4.496","2776.6"
"2226","8235.8","182","179","72","4.884","2776.6"
"2227","8241","111","178","93","5.1","2776.8"
"2228","8245.7","117","176","94","5.25","2776.8"
"2229","8250.1","145","176","90","4.996","2776.8"
"2230","8254.7","122","177","88","4.856","2777.2"
"2231","8259.2","125","176","86","4.674","2777.4"
"2232","8263.4","149","176","85","4.472","2777.6"
"2233","8267.6","125","176","87","4.38","2777.8"
"2234","8271.7","132","176","87","4.314","2778"
"2235","8276.2","122","175","87","4.312","2778.2"
"2236","8280.3","152","176","87","4.232","2778.2"
"2237","8284.4","152","175","91","4.196","2778.2"
"2238","8288.9","131","176","93","4.258","2778.4"
"2239","8293.5","171","176","93","4.37","2778.4"
"2240","8298.5","171","177","91","4.46","2778.6"
"2241","8303.4","207","176","85","4.606","2778.8"
"2242","8306.9","223","177","86","4.504","2779"
"2243","8310.3","339","176","87","4.284","2779.2"
"2244","8314.2","235","176","91","4.134","2779.6"
"2245","8318.7","198","176","90","4.026","2779.8"
"2246","8323.4","202","176","91","4.004","2780"
"2247","8327.6","183","176","89","4.136","2780.2"
"2248","8332.1","244","176","88","4.342","2780.4"
"2249","8336.7","230","176","89","4.496","2780.4"
"2250","8341.4","199","176","90","4.544","2780.6"
"2251","8345.7","201","176","92","4.45","2781"
"2252","8349.7","150","176","94","4.434","2781"
"2253","8354.1","192","177","94","4.41","2781.2"
"2254","8358.8","155","177","95","4.424","2781.2"
"2255","8363.6","154","178","96","4.446","2781.4"
"2256","8369.1","178","178","91","4.69","2781.6"
"2257","8374.3","198","176","99","4.912","2781.6"
"2258","8379.8","195","176","94","5.134","2781.8"
"2259","8385","264","176","91","5.25","2781.8"
"2260","8390.2","208","176","93","5.312","2782"
"2261","8395.4","224","176","93","5.262","2782.2"
"2262","8400.6","233","176","93","5.252","2782.8"
"2263","8405.6","213","175","95","5.172","2783.2"
"2264","8409.8","201","175","90","4.958","2783.6"
"2265","8414","198","176","91","4.766","2783.8"
"2266","8418.1","228","177","89","4.546","2784"
"2267","8421.3","266","178","88","4.156","2784"
"2268","8426.5","234","178","88","4.178","2784.2"
"2269","8431.1","212","178","88","4.256","2784.6"
"2270","8435.3","194","179","85","4.258","2785"
"2271","8439.5","204","178","83","4.27","2785.2"
"2272","8443.6","211","179","85","4.452","2785.4"
"2273","8447.3","211","179","85","4.15","2785.6"
"2274","8451.7","216","179","87","4.126","2785.6"
"2275","8456.5","236","180","86","4.242","2785.8"
"2276","8461.3","266","181","86","4.372","2786"
"2277","8465.6","266","180","90","4.398","2786.4"
"2278","8469.9","217","180","87","4.53","2786.6"
"2279","8473.9","247","180","83","4.43","2786.8"
"2280","8477.7","251","180","78","4.238","2787.2"
"2281","8481.6","269","179","79","4.046","2787.4"
"2282","8486.1","255","179","80","4.098","2787.8"
"2283","8489.7","228","177","78","3.95","2788"
"2284","8493","214","176","76","3.828","2788.2"
"2285","8496.5","207","178","73","3.758","2788.6"
"2286","8500.1","247","177","73","3.696","2789"
"2287","8504","284","177","78","3.584","2789.2"
"2288","8508.3","223","177","79","3.718","2789.4"
"2289","8511.5","250","176","77","3.688","2789.6"
"2290","8514.7","215","176","75","3.648","2789.8"
"2291","8518","221","176","74","3.592","2790"
"2292","8521.3","303","177","73","3.462","2790.4"
"2293","8524.2","253","176","73","3.178","2790.6"
"2294","8526.7","253","177","72","3.054","2790.8"
"2295","8529","202","178","68","2.854","2791"
"2296","8530.9","270","178","68","2.578","2791.2"
"2297","8532.8","231","177","70","2.296","2791.4"
"2298","8534.9","254","179","76","2.148","2791.4"
"2299","8536.9","242","179","74","2.044","2791.8"
"2300","8539.2","240","178","78","2.042","2792"
"2301","8541.5","240","178","77","2.126","2792.4"
"2302","8544.2","194","179","75","2.282","2792.6"
"2303","8547","227","179","75","2.414","2792.8"
"2304","8548.9","212","178","65","2.384","2793"
"2305","8550.7","249","177","66","2.304","2793.4"
"2306","8553","249","177","70","2.282","2793.8"
"2307","8556","249","179","72","2.356","2794"
"2308","8558.9","214","177","72","2.39","2794.2"
"2309","8562.7","249","178","72","2.758","2794.4"
"2310","8565.9","220","178","75","3.034","2794.6"
"2311","8569.1","203","178","75","3.224","2795.2"
"2312","8572","257","178","78","3.206","2795.6"
"2313","8575","193","177","76","3.222","2795.8"
"2314","8578","228","176","80","3.064","2796"
"2315","8581.2","213","177","71","3.056","2796"
"2316","8584.1","285","176","71","3.008","2796.2"
"2317","8586.8","285","176","75","2.968","2796.4"
"2318","8590","232","177","78","2.988","2796.6"
"2319","8594.1","233","177","78","3.218","2797"
"2320","8596.9","243","178","78","3.14","2797.4"
"2321","8599.4","269","178","78","3.058","2797.6"
"2322","8603","238","177","79","3.22","2797.8"
"2323","8606","231","178","78","3.21","2798"
"2324","8608.7","252","178","78","2.92","2798.2"
"2325","8611","252","178","75","2.83","2798.4"
"2326","8613.2","229","179","74","2.76","2798.4"
"2327","8615.2","261","180","74","2.458","2798.8"
"2328","8618.7","261","179","83","2.54","2799.4"
"2329","8621.4","215","179","85","2.544","2799.6"
"2330","8624","223","180","84","2.584","2799.6"
"2331","8626.9","178","179","83","2.732","2799.8"
"2332","8630","223","180","80","2.962","2800.2"
"2333","8633.2","232","180","82","2.89","2800.4"
"2334","8636.2","187","180","80","2.968","2800.8"
"2335","8639.4","179","180","80","3.094","2801.2"
"2336","8642.5","179","180","79","3.138","2801.4"
"2337","8645.7","193","181","79","3.138","2801.6"
"2338","8648.9","175","181","79","3.148","2801.8"
"2339","8652","175","181","82","3.156","2801.8"
"2340","8655.1","178","181","80","3.14","2802"
"2341","8658.1","209","181","80","3.11","2802.2"
"2342","8661.4","209","181","80","3.128","2802.4"
"2343","8664.7","219","181","86","3.148","2802.4"
"2344","8668","174","181","88","3.19","2802.6"
"2345","8671.1","164","181","90","3.2","2802.8"
"2346","8674.2","133","181","87","3.216","2803"
"2347","8677.3","159","181","86","3.174","2803"
"2348","8680.5","172","181","85","3.164","2803.4"
"2349","8683.6","168","181","83","3.128","2803.6"
"2350","8686.5","197","182","77","3.066","2803.6"
"2351","8689.3","232","181","78","3.03","2803.8"
"2352","8692","261","181","78","2.944","2804"
"2353","8694.7","261","181","76","2.844","2804.6"
"2354","8697.7","276","180","78","2.818","2804.8"
"2355","8700.4","245","181","78","2.796","2805.2"
"2356","8703.1","245","181","79","2.754","2805.4"
"2357","8705.7","227","181","77","2.75","2805.8"
"2358","8708.5","283","180","77","2.754","2806"
"2359","8711.3","283","180","73","2.718","2806.2"
"2360","8714.3","380","180","79","2.776","2806.4"
"2361","8717.4","310","180","86","2.866","2806.4"
"2362","8720.4","228","181","81","2.934","2806.6"
"2363","8723.2","230","182","72","2.952","2806.8"
"2364","8726.2","250","182","74","2.994","2807"
"2365","8729.3","253","182","79","2.988","2807.2"
"2366","8732.2","243","181","81","2.96","2807.6"
"2367","8734.9","240","181","79","2.91","2808"
"2368","8737.5","250","182","79","2.86","2808.2"
"2369","8740.1","200","181","79","2.768","2808.6"
"2370","8742.7","200","182","77","2.696","2808.8"
"2371","8745.5","237","181","72","2.654","2809.2"
"2372","8748.3","305","182","72","2.662","2809.4"
"2373","8750.9","305","181","75","2.678","2809.8"
"2374","8753.9","230","182","77","2.768","2810.2"
"2375","8756.5","199","181","75","2.764","2810.2"
"2376","8758.3","228","182","73","2.55","2810.6"
"2377","8761.1","275","182","71","2.566","2810.8"
"2378","8763.8","248","181","74","2.57","2811"
"2379","8766.7","202","182","73","2.554","2811.4"
"2380","8769.4","201","181","71","2.574","2811.6"
"2381","8772.4","223","182","72","2.83","2811.8"
"2382","8775","233","182","74","2.776","2812"
"2383","8777","213","181","73","2.658","2812.2"
"2384","8779.5","189","181","72","2.554","2812.4"
"2385","8782.4","223","182","74","2.602","2812.6"
"2386","8785","202","182","74","2.524","2812.8"
"2387","8787.7","202","182","74","2.542","2813.2"
"2388","8790.4","207","182","74","2.674","2813.6"
"2389","8793.8","181","182","74","2.872","2813.6"
"2390","8797.5","234","181","78","3.004","2813.8"
"2391","8801","198","181","81","3.19","2813.8"
"2392","8804.3","190","181","83","3.328","2814"
"2393","8807.9","174","181","87","3.5","2814.4"
"2394","8810.9","142","181","87","3.422","2814.6"
"2395","8814.3","136","181","89","3.376","2815"
"2396","8818","143","181","93","3.408","2815"
"2397","8821.1","165","181","93","3.366","2815.2"
"2398","8824.1","165","180","94","3.238","2815.2"
"2399","8827.3","210","180","90","3.276","2815.4"
"2400","8830.5","177","179","89","3.244","2815.6"
"2401","8833.7","214","179","85","3.142","2815.8"
"2402","8837","186","180","79","3.18","2816"
"2403","8840.5","173","179","79","3.284","2816"
"2404","8843.9","178","179","78","3.322","2816.2"
"2405","8847.3","166","178","81","3.358","2816.2"
"2406","8850.7","149","177","81","3.392","2816.4"
"2407","8854.3","151","177","82","3.462","2816.8"
"2408","8858.2","161","176","85","3.54","2817"
"2409","8862.3","144","176","88","3.668","2817"
"2410","8866.2","109","176","89","3.766","2817.2"
"2411","8869.9","115","176","89","3.846","2817.4"
"2412","8873.7","115","174","87","3.866","2817.6"
"2413","8877.5","154","174","86","3.858","2817.8"
"2414","8881.5","160","175","86","3.838","2817.8"
"2415","8885.4","160","175","84","3.842","2818.2"
"2416","8889.4","143","176","84","3.896","2818.2"
"2417","8893.3","141","176","81","3.928","2818.2"
"2418","8897","133","176","82","3.888","2818.4"
"2419","8900.5","155","176","76","3.816","2818.6"
"2420","8904.3","123","176","79","3.782","2818.6"
"2421","8908.3","115","176","77","3.774","2818.6"
"2422","8912.4","169","176","71","3.816","2818.8"
"2423","8917.8","146","176","76","4.168","2818.8"
"2424","8923","162","176","78","4.502","2818.8"
"2425","8927.5","135","176","79","4.64","2818.8"
"2426","8931.5","125","177","80","4.646","2819"
"2427","8935.4","127","176","56","4.598","2819.2"
"2428","8939.5","170","177","56","4.348","2819.2"
"2429","8944.2","170","176","48","4.228","2819.4"
"2430","8948.8","195","175","49","4.272","2819.4"
"2431","8954","156","176","52","4.504","2819.4"
"2432","8960.1","118","175","51","4.94","2819.6"
"2433","8966.6","117","174","53","5.412","2819.6"
"2434","8973.3","194","174","53","5.832","2819.6"
"2435","8980.2","194","173","56","6.264","2819.6"
"2436","8987","114","172","65","6.6","2819.8"
"2437","8993.3","134","171","77","6.642","2820"
"2438","8999.7","135","171","94","6.62","2820"
"2439","9005.8","178","171","98","6.496","2820"
"2440","9011.6","124","171","97","6.29","2820.2"
"2441","9016.9","109","170","90","5.976","2820.4"
"2442","9022.5","134","171","90","5.83","2820.6"
"2443","9028.5","134","171","86","5.766","2820.8"
"2444","9033.8","125","171","80","5.602","2820.6"
"2445","9038.8","159","172","86","5.442","2820.8"
"2446","9043.3","155","172","75","5.274","2821"
"2447","9047.9","171","172","71","5.084","2821"
"2448","9052.5","198","172","72","4.794","2821.2"
"2449","9056.8","177","172","68","4.592","2821.4"
"2450","9060.3","189","172","84","4.302","2821.6"
"2451","9063.8","178","172","86","4.112","2821.8"
"2452","9067.1","173","172","100","3.844","2822"
"2453","9069.9","248","171","102","3.486","2822"
"2454","9072.6","166","171","101","3.158","2822.2"
"2455","9075.5","191","171","92","3.038","2822.4"
"2456","9078.2","138","171","94","2.878","2822.8"
"2457","9081","135","171","94","2.772","2823"
"2458","9083.7","175","171","81","2.76","2823.4"
"2459","9086.5","289","172","79","2.792","2823.6"
"2460","9089.9","327","172","84","2.872","2823.8"
"2461","9093.8","253","172","87","3.116","2824"
"2462","9097.4","225","172","87","3.292","2824.4"
"2463","9100.9","225","172","86","3.432","2824.6"
"2464","9104.7","247","172","79","3.632","2824.8"
"2465","9108.5","223","172","78","3.722","2825"
"2466","9112.4","218","171","76","3.714","2825.2"
"2467","9116.2","224","171","77","3.75","2825.4"
"2468","9119.4","255","171","77","3.702","2825.6"
"2469","9122.7","255","171","77","3.594","2825.8"
"2470","9125.2","338","170","81","3.336","2826"
"2471","9127.8","269","171","87","3.096","2826.2"
"2472","9131.2","226","171","87","3.004","2826.4"
"2473","9134.7","241","172","82","3.062","2826.8"
"2474","9137.9","241","172","82","3.048","2827"
"2475","9141.3","211","172","86","3.214","2827.2"
"2476","9144.5","161","173","96","3.342","2827.4"
"2477","9147.9","99","173","100","3.342","2827.6"
"2478","9151.2","172","173","105","3.304","2827.8"
"2479","9156.2","260","174","118","3.662","2827.8"
"2480","9162.1","243","174","129","4.166","2827.8"
"2481","9167.4","0","174","129","4.572","2828"
"2482","9172.6","0","173","129","4.94","2828"
"2483","9176.7","0","173","129","5.096","2828.2"
"2484","9181","85","174","69","4.964","2828.4"
"2485","9186.3","255","173","104","4.846","2828.6"
"2486","9193.8","174","173","105","5.268","2828.6"
"2487","9200.4","178","175","102","5.566","2828.6"
"2488","9205.5","177","174","96","5.768","2829"
"2489","9210.3","167","174","91","5.858","2829.4"
"2490","9214.3","181","174","89","5.588","2829.6"
"2491","9218","176","174","89","4.856","2829.8"
"2492","9221.7","176","174","90","4.254","2829.8"
"2493","9224.8","202","174","88","3.854","2829.8"
"2494","9227.2","172","174","85","3.368","2830.4"
"2495","9230.5","221","174","81","3.25","2830.6"
"2496","9233.3","227","175","81","3.05","2830.8"
"2497","9237.3","227","175","84","3.132","2831"
"2498","9240.6","178","175","86","3.164","2831.2"
"2499","9244.2","185","176","86","3.4","2831.4"
"2500","9248.3","185","176","88","3.556","2831.6"
"2501","9253.5","159","176","87","4.052","2831.8"
"2502","9257.6","197","176","87","4.042","2832"
"2503","9261.8","200","174","88","4.228","2832"
"2504","9266.8","173","174","84","4.522","2832.2"
"2505","9270.2","173","175","86","4.374","2832.4"
"2506","9273.8","221","175","83","4.052","2832.4"
"2507","9276.4","187","176","82","3.772","2832.6"
"2508","9279.3","246","175","79","3.494","2832.6"
"2509","9282.2","216","175","80","3.078","2833"
"2510","9284.2","222","175","79","2.812","2833.2"
"2511","9287","216","174","81","2.636","2833.2"
"2512","9291.3","290","175","85","2.968","2833.4"
"2513","9294.9","305","174","87","3.136","2833.6"
"2514","9299.2","236","175","89","3.402","2834"
"2515","9302.6","231","175","84","3.68","2834.2"
"2516","9305.8","203","175","84","3.762","2834.6"
"2517","9309.5","203","176","80","3.648","2834.8"
